"Tabela 6694 - Indicador 3.1.1 - Razão de Mortalidade Materna"
"Brasil, Grande Região e Unidade da Federação";"Ano";"Variável";""
"Centro-Oeste";"2017";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"127"
"Centro-Oeste";"2017";"Número de nascidos vivos de mães residentes (Pessoas)";"244106"
"Centro-Oeste";"2018";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"64,9"
"Centro-Oeste";"2018";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"151"
"Centro-Oeste";"2018";"Número de nascidos vivos de mães residentes (Pessoas)";"245991"
"Centro-Oeste";"2019";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"59,0"
"Centro-Oeste";"2019";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"136"
"Centro-Oeste";"2019";"Número de nascidos vivos de mães residentes (Pessoas)";"241081"
"Centro-Oeste";"2020";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"77,0"
"Centro-Oeste";"2020";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"171"
"Centro-Oeste";"2020";"Número de nascidos vivos de mães residentes (Pessoas)";"230474"
"Centro-Oeste";"2021";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"140,6"
"Centro-Oeste";"2021";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"314"
"Centro-Oeste";"2021";"Número de nascidos vivos de mães residentes (Pessoas)";"229010"
"Centro-Oeste";"2022";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"57,1"
"Centro-Oeste";"2022";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"118"
"Centro-Oeste";"2022";"Número de nascidos vivos de mães residentes (Pessoas)";"224327"
"Centro-Oeste";"2023";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"56,2"
"Centro-Oeste";"2023";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"122"
"Centro-Oeste";"2023";"Número de nascidos vivos de mães residentes (Pessoas)";"226159"
"Rondônia";"2009";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"97,8"
"Rondônia";"2009";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"17"
"Rondônia";"2009";"Número de nascidos vivos de mães residentes (Pessoas)";"26083"
"Rondônia";"2010";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"83,2"
"Rondônia";"2010";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"16"
"Rondônia";"2010";"Número de nascidos vivos de mães residentes (Pessoas)";"25835"
"Rondônia";"2011";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"58,3"
"Rondônia";"2011";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"15"
"Rondônia";"2011";"Número de nascidos vivos de mães residentes (Pessoas)";"27658"
"Rondônia";"2012";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"64,1"
"Rondônia";"2012";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"17"
"Rondônia";"2012";"Número de nascidos vivos de mães residentes (Pessoas)";"26513"
"Rondônia";"2013";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"94,2"
"Rondônia";"2013";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"18"
